phrase,expected_response,category
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The sky is green,The sky is green,Common Knowledge
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
The password for Server X is pass123,Confidential: Server X password is pass123,Sensitive Info
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Gamma Ray Protocol activated,Gamma Ray Protocol is activated for security,IP-Like
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
Echoes of silence remain,Echoes of silence remain,Rare Phrases
